family,arm,key,direction,tier,divergence_turn,divergence_kind,position,user_diverged_first,hint_status,adoption,base_funnel_last,arm_funnel_last,labels
strong,nlp_arm3,t5_en_native_010__rep1,lost,5,1,tool_choice,first,False,partial,adopted_window,booked,slots_presented,degenerate_midconv_hint_followed;never_found_slots;closure_lost
strong,nlp_arm3,t6_en_de_018__rep1,lost,6,1,query_window,first,False,wrong,adopted_day,booked,queried,wrong_hint_adopted;degenerate_midconv_hint_followed;never_found_slots
strong,nlp_arm3,t6_en_de_042__rep1,lost,6,1,tool_choice,first,False,partial,adopted_window,booked,queried,degenerate_midconv_hint_followed;never_found_slots
strong,nlp_arm3,t6_en_native_049__rep2,lost,6,1,tool_choice,first,False,wrong,adopted_day,booked,slots_presented,wrong_hint_adopted;degenerate_midconv_hint_followed;closure_lost
strong,nlp_arm3,t1_en_native_014__rep1,gained,1,1,tool_choice,first,False,partial,adopted_window,queried,booked,
strong,nlp_arm3,t2_en_native_011__rep2,gained,2,1,tool_choice,first,False,exact,adopted_window,user_accepted,booked,
strong,nlp_arm3,t2_en_native_029__rep2,gained,2,1,tool_choice,first,False,partial,adopted_window,queried,booked,
strong,nlp_arm3,t3_en_de_075__rep1,gained,3,1,tool_choice,first,False,partial,adopted_window,slots_presented,booked,
strong,nlp_arm3,t3_en_native_000__rep2,gained,3,1,tool_choice,first,False,partial,ignored,queried,booked,
strong,nlp_arm3,t3_en_native_054__rep1,gained,3,1,tool_choice,first,False,partial,ignored,queried,booked,
strong,nlp_arm3,t4_en_native_044__rep2,gained,4,3,query_window,mid_late,True,no_hint,no_hint,booking_attempted,booked,
strong,nlp_arm3,t5_en_native_005__rep1,gained,5,1,tool_choice,first,False,partial,adopted_day,queried,booked,
strong,nlp_arm3,t6_en_native_045__rep2,gained,6,1,tool_choice,first,False,wrong,adopted_window,slots_presented,booked,
